epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,586.272,0.28624,0.21159,0.88485,0.98137,0.96835,0.9908,0.94083,0.33564,0.28471,0.85344,0.000181703,0.000181703,0.000181703
92,592.941,0.27442,0.18732,0.86843,0.98784,0.98101,0.99135,0.94717,0.33457,0.26665,0.8526,0.0001652,0.0001652,0.0001652
93,598.847,0.27013,0.18981,0.8671,0.99348,0.99367,0.99187,0.94398,0.32571,0.2436,0.84656,0.000148696,0.000148696,0.000148696
94,605.351,0.28422,0.19511,0.89197,0.99725,0.99367,0.99235,0.94652,0.32257,0.23079,0.84359,0.000132193,0.000132193,0.000132193
95,611.345,0.26456,0.18175,0.86522,0.99789,0.99367,0.99257,0.94678,0.32173,0.2199,0.84173,0.00011569,0.00011569,0.00011569
96,617.417,0.25807,0.17801,0.85981,0.99662,0.99367,0.9925,0.94665,0.31964,0.22016,0.84408,9.91865e-05,9.91865e-05,9.91865e-05
97,623.182,0.25345,0.17545,0.84349,0.99391,0.98734,0.9924,0.94904,0.31751,0.21774,0.8415,8.26832e-05,8.26832e-05,8.26832e-05
98,628.861,0.25501,0.18269,0.85965,0.99412,0.99367,0.99241,0.94683,0.31616,0.2297,0.84284,6.61799e-05,6.61799e-05,6.61799e-05
99,635.285,0.2504,0.1747,0.87277,0.99227,0.99367,0.99246,0.95455,0.31613,0.22868,0.84342,4.96766e-05,4.96766e-05,4.96766e-05
100,641.426,0.25549,0.1762,0.8672,0.99048,0.99367,0.99228,0.95198,0.31065,0.2281,0.84111,3.31733e-05,3.31733e-05,3.31733e-05
