epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,224.318,0.78494,0.66817,1.23763,0.95241,0.9141,0.96038,0.76889,0.77786,0.572,1.23052,0.0006634,0.0006634,0.0006634
70,227.283,0.76423,0.68025,1.22642,0.96827,0.89558,0.98425,0.80865,0.73839,0.5482,1.21279,0.00065845,0.00065845,0.00065845
71,230.549,0.75115,0.63533,1.21028,0.9425,0.91586,0.98381,0.79147,0.77668,0.54895,1.25089,0.0006535,0.0006535,0.0006535
72,233.862,0.7562,0.63156,1.21644,0.9251,0.91355,0.9705,0.77901,0.73033,0.55529,1.23791,0.00064855,0.00064855,0.00064855
73,236.802,0.77517,0.67629,1.25565,0.94768,0.93722,0.98728,0.77826,0.78715,0.51962,1.23497,0.0006436,0.0006436,0.0006436
74,239.926,0.80836,0.6721,1.25509,0.95469,0.89366,0.97887,0.79011,0.65154,0.5373,1.1189,0.00063865,0.00063865,0.00063865
75,243.076,0.77131,0.6332,1.23609,0.93818,0.94274,0.98783,0.80557,0.72537,0.49334,1.16505,0.0006337,0.0006337,0.0006337
76,246.025,0.76731,0.66336,1.23821,0.97574,0.91814,0.98668,0.82165,0.67712,0.55196,1.14154,0.00062875,0.00062875,0.00062875
77,249.548,0.75356,0.61864,1.2424,0.95818,0.93631,0.98444,0.81372,0.73,0.51423,1.19418,0.0006238,0.0006238,0.0006238
78,252.696,0.76115,0.65149,1.22512,0.95961,0.94684,0.98653,0.82767,0.68894,0.50206,1.1753,0.00061885,0.00061885,0.00061885
79,255.741,0.74531,0.64706,1.22221,0.94624,0.93553,0.98145,0.80416,0.7319,0.49622,1.20886,0.0006139,0.0006139,0.0006139
80,258.832,0.74472,0.59843,1.20944,0.90978,0.96018,0.97317,0.81217,0.67528,0.48981,1.17071,0.00060895,0.00060895,0.00060895
81,261.82,0.7931,0.65997,1.25148,0.91496,0.93646,0.96788,0.79775,0.72649,0.51283,1.21669,0.000604,0.000604,0.000604
82,264.764,0.71793,0.61762,1.19661,0.96861,0.93954,0.98466,0.79582,0.69589,0.49355,1.16198,0.00059905,0.00059905,0.00059905
83,267.837,0.76192,0.62072,1.22587,0.94899,0.94628,0.98687,0.78034,0.79438,0.48742,1.22735,0.0005941,0.0005941,0.0005941
84,271.141,0.75284,0.63214,1.21842,0.97706,0.94385,0.99116,0.83491,0.64478,0.4716,1.10449,0.00058915,0.00058915,0.00058915
85,274.311,0.76639,0.63444,1.22883,0.93682,0.98401,0.99375,0.80409,0.75424,0.46288,1.1918,0.0005842,0.0005842,0.0005842
86,277.737,0.73734,0.62133,1.2144,0.96053,0.98691,0.99273,0.83088,0.67566,0.44282,1.13919,0.00057925,0.00057925,0.00057925
87,281.157,0.73387,0.62245,1.22725,0.92919,0.96878,0.98953,0.79492,0.75502,0.51151,1.20642,0.0005743,0.0005743,0.0005743
88,284.466,0.77015,0.61303,1.21745,0.94392,0.94408,0.97343,0.81616,0.67417,0.59357,1.13255,0.00056935,0.00056935,0.00056935
89,287.857,0.71822,0.56669,1.20926,0.97167,0.97203,0.9937,0.82711,0.68707,0.41478,1.11985,0.0005644,0.0005644,0.0005644
