epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,216.048,0.34642,0.36151,0.86669,0.88548,0.9144,0.93001,0.8966,0.28494,0.49984,0.85299,0.0003796,0.0003796,0.0003796
96,218.179,0.33535,0.37166,0.86337,0.91302,0.91189,0.9258,0.89174,0.27682,0.51125,0.85251,0.000373,0.000373,0.000373
97,220.283,0.31965,0.34435,0.86498,0.89639,0.88824,0.94738,0.91554,0.26549,0.48222,0.84913,0.0003664,0.0003664,0.0003664
98,222.791,0.3191,0.33805,0.86157,0.95495,0.92336,0.97166,0.93988,0.2674,0.3559,0.85475,0.0003598,0.0003598,0.0003598
99,225.052,0.33448,0.34248,0.86116,0.87943,0.96245,0.96526,0.936,0.26544,0.36128,0.85706,0.0003532,0.0003532,0.0003532
100,227.321,0.32206,0.33516,0.86342,0.88707,0.94504,0.95525,0.92591,0.26118,0.40868,0.856,0.0003466,0.0003466,0.0003466
101,229.448,0.32382,0.33543,0.85306,0.90358,0.9369,0.94275,0.91395,0.26188,0.43438,0.85624,0.00034,0.00034,0.00034
102,231.731,0.32379,0.33381,0.85777,0.9313,0.89929,0.94313,0.91336,0.27193,0.44006,0.8519,0.0003334,0.0003334,0.0003334
103,234.048,0.31675,0.31218,0.86715,0.90949,0.91937,0.97146,0.93891,0.25922,0.36505,0.85243,0.0003268,0.0003268,0.0003268
104,236.184,0.32432,0.34398,0.86826,0.88273,0.97405,0.97535,0.94457,0.25419,0.34511,0.85602,0.0003202,0.0003202,0.0003202
105,238.334,0.31637,0.29313,0.86067,0.93475,0.87884,0.97458,0.9438,0.26384,0.3797,0.85583,0.0003136,0.0003136,0.0003136
